Age,Gender,Nationality,Level_of_Study,New_to_UAE,Monthly_Budget_AED,Willingness_to_Pay_AED,Need_Accommodation_Help,Need_Food_Outlet_Info,Need_Transport_Help,Need_SIM_Card_Guidance,Need_Currency_Exchange_Help,Interested_in_Events,Need_Supermarket_Info,Interested_in_Places_to_Visit,Interested_in_Online_Internships,Interested_in_Part_Time_Jobs,Most_Important_Feature,Likelihood_to_Use_App
21,Male,Sri Lankan,Diploma,Yes,2230,10,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Transport,Yes
26,Male,Nigerian,Postgraduate,Yes,3035,16,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Currency Exchange,Yes
25,Male,Indian,Undergraduate,No,2637,10,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Food,Yes
29,Male,Sri Lankan,Diploma,Yes,1200,4,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,SIM Card,Yes
19,Male,Nepali,Undergraduate,Yes,1693,16,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Events,Yes
29,Female,Indian,Undergraduate,No,2528,6,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Transport,Yes
22,Female,Other,Diploma,Yes,7000,50,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Part-Time Jobs,Maybe
27,Male,Indian,Undergraduate,Yes,2588,14,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Internships,Yes
22,Male,Sri Lankan,Undergraduate,Yes,2430,14,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Transport,Maybe
30,Male,Indian,Postgraduate,Yes,2287,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Transport,Yes
23,Male,Indian,Postgraduate,No,3106,13,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Supermarkets,Maybe
35,Male,Bangladeshi,Postgraduate,Yes,2533,17,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Events,No
18,Male,Nigerian,Diploma,Yes,2078,9,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Events,Yes
19,Male,Nepali,Postgraduate,No,1571,8,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Accommodation,Maybe
34,Female,Nigerian,Postgraduate,Yes,2089,8,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Transport,Yes
26,Male,Sri Lankan,Diploma,Yes,2475,11,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Supermarkets,Yes
18,Male,Indian,Undergraduate,Yes,3371,21,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Internships,Yes
20,Female,Indian,Postgraduate,Yes,4059,13,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Food,Yes
23,Male,Pakistani,Undergraduate,No,2408,11,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,SIM Card,Yes
31,Male,Pakistani,Postgraduate,Yes,5516,18,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,SIM Card,Maybe
26,Male,Pakistani,Undergraduate,Yes,3082,6,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Part-Time Jobs,Yes
24,Female,Nepali,Postgraduate,No,2580,15,Yes,Yes,No,No,No,No,No,No,No,No,Food,Maybe
24,Female,Indian,Postgraduate,Yes,3366,17,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,SIM Card,Maybe
21,Female,Indian,Diploma,No,2532,11,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Supermarkets,Maybe
19,Male,Pakistani,Undergraduate,Yes,2342,11,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Part-Time Jobs,Yes
33,Female,Indian,Diploma,Yes,1954,18,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Currency Exchange,Maybe
21,Male,Indian,Postgraduate,Yes,3142,4,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Events,Yes
21,Male,Bangladeshi,Undergraduate,Yes,2735,16,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Internships,No
28,Female,Indian,Undergraduate,Yes,2966,24,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Accommodation,Yes
26,Male,Indian,Diploma,No,2539,8,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Internships,Maybe
28,Female,Indian,Undergraduate,No,2518,16,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Internships,Maybe
22,Female,Sri Lankan,Postgraduate,No,3954,9,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Supermarkets,Yes
27,Male,Bangladeshi,Postgraduate,Yes,2849,7,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Transport,Yes
27,Male,Other,Undergraduate,Yes,2421,7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Events,Yes
19,Female,Other,Postgraduate,No,2791,9,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Events,Maybe
17,Male,Sri Lankan,Diploma,Yes,1200,8,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,SIM Card,Yes
20,Female,Indian,Postgraduate,Yes,4304,22,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Places to Visit,Yes
22,Female,Indian,Undergraduate,Yes,3126,9,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Internships,Yes
34,Female,Bangladeshi,Diploma,Yes,2004,17,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Transport,Yes
30,Female,Nigerian,Postgraduate,No,3415,14,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Internships,Maybe
28,Female,Indian,Diploma,Yes,2852,6,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Food,Yes
25,Male,Nigerian,Diploma,Yes,2430,18,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Part-Time Jobs,Yes
18,Male,Nepali,Undergraduate,Yes,2083,15,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Transport,Yes
24,Female,Pakistani,Postgraduate,Yes,2612,10,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Supermarkets,Yes
24,Female,Nepali,Postgraduate,No,2682,8,No,No,Yes,No,No,No,No,Yes,No,Yes,Transport,Yes
33,Male,Indian,Diploma,Yes,1375,8,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Events,Maybe
17,Male,Indian,Undergraduate,Yes,2810,6,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Events,Yes
19,Male,Pakistani,Undergraduate,Yes,2017,8,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Events,No
28,Female,Indian,Diploma,Yes,2955,14,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Food,Yes
20,Male,Sri Lankan,Diploma,No,3807,7,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Food,No
27,Male,Indian,Postgraduate,Yes,3846,19,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Transport,Yes
26,Male,Indian,Postgraduate,Yes,3185,22,No,Yes,Yes,Yes,No,No,No,No,No,No,SIM Card,Yes
25,Male,Other,Postgraduate,Yes,3316,16,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Currency Exchange,Yes
31,Male,Nepali,Postgraduate,No,3490,20,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Part-Time Jobs,Yes
27,Male,Other,Postgraduate,Yes,3559,7,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Internships,Maybe
17,Male,Indian,Undergraduate,Yes,2343,8,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Food,Yes
18,Male,Nepali,Undergraduate,Yes,2361,9,Yes,No,Yes,Yes,No,No,No,No,No,No,Accommodation,Yes
